iter	Passed	Remaining
418	2501	3468
419	2506	3461
420	2513	3456
421	2519	3451
422	2525	3445
423	2530	3438
424	2536	3431
425	2542	3426
426	2548	3419
427	2553	3412
428	2559	3407
429	2565	3401
430	2570	3394
431	2577	3389
432	2584	3384
433	2589	3377
434	2593	3369
435	2598	3361
436	2604	3355
437	2610	3349
438	2615	3342
439	2625	3341
440	2632	3336
441	2638	3330
442	2642	3322
443	2648	3315
444	2653	3309
445	2658	3302
446	2664	3296
447	2670	3290
448	2675	3283
449	2685	3282
450	2691	3275
451	2696	3268
452	2701	3262
453	2707	3255
454	2711	3248
455	2716	3240
456	2720	3232
457	2724	3224
458	2729	3216
459	2735	3210
460	2739	3202
461	2744	3196
462	2752	3192
463	2757	3185
464	2763	3178
465	2770	3174
466	2776	3168
467	2783	3163
468	2789	3158
469	2799	3157
470	2805	3150
471	2813	3146
472	2822	3144
473	2829	3139
474	2837	3136
475	2844	3131
476	2850	3125
477	2855	3118
478	2861	3112
479	2869	3109
480	2875	3103
481	2884	3100
482	2891	3094
483	2899	3091
484	2906	3086
485	2914	3082
486	2920	3076
487	2928	3072
488	2934	3066
489	2941	3061
490	2949	3057
491	2955	3051
492	2965	3049
493	2971	3043
494	2980	3040
495	2987	3035
496	2992	3028
497	3001	3025
498	3007	3019
499	3016	3016
500	3023	3011
501	3033	3009
502	3041	3005
503	3049	3001
504	3056	2995
505	3065	2992
506	3070	2985
507	3079	2982
508	3085	2976
509	3095	2973
510	3100	2967
511	3108	2962
512	3114	2956
513	3120	2950
514	3131	2949
515	3138	2943
516	3149	2942
517	3160	2940
518	3168	2936
519	3177	2933
520	3184	2927
521	3193	2924
522	3200	2918
523	3207	2913
524	3212	2906
525	3219	2901
526	3226	2895
527	3232	2889
528	3241	2886
529	3246	2879
530	3251	2871
531	3256	2865
532	3263	2859
533	3269	2853
534	3275	2846
535	3280	2839
536	3287	2834
537	3291	2826
538	3296	2819
539	3307	2817
540	3313	2811
541	3318	2804
542	3323	2797
